Year,Quarter,Employment Growth
1951,Q1,0.34
,Q2,0.25
,Q3,0.20
,Q4,-0.04
1952,Q1,-0.08
,Q2,-0.33
,Q3,-0.21
,Q4,-0.02
1953,Q1,0.25
,Q2,0.54
,Q3,0.30
,Q4,0.49
1954,Q1,0.37
,Q2,0.41
,Q3,0.38
,Q4,0.38
1955,Q1,0.35
,Q2,0.15
,Q3,0.55
,Q4,0.35
1956,Q1,0.10
,Q2,0.10
,Q3,0.18
,Q4,-0.09
1957,Q1,-0.02
,Q2,0.31
,Q3,-0.15
,Q4,-0.08
1958,Q1,-0.58
,Q2,0.07
,Q3,-0.23
,Q4,0.09
1959,Q1,0.29
,Q2,0.38
,Q3,0.41
,Q4,0.35
1960,Q1,0.60
,Q2,0.42
,Q3,0.17
,Q4,0.71
1961,Q1,0.38
,Q2,-0.13
,Q3,0.24
,Q4,-0.28
1962,Q1,0.57
,Q2,0.21
,Q3,-0.08
,Q4,-0.26
1963,Q1,-0.33
,Q2,0.81
,Q3,0.09
,Q4,0.54
1964,Q1,0.19
,Q2,0.38
,Q3,0.46
,Q4,0.29
1965,Q1,0.21
,Q2,0.11
,Q3,0.07
,Q4,0.44
1966,Q1,0.17
,Q2,-0.03
,Q3,0.03
,Q4,-0.90
1967,Q1,-0.56
,Q2,0.09
,Q3,0.14
,Q4,-0.46
1968,Q1,-0.16
,Q2,-0.08
,Q3,0.10
,Q4,0.04
1969,Q1,-0.03
,Q2,0.03
,Q3,-0.01
,Q4,-0.11
1970,Q1,0.12
,Q2,-0.36
,Q3,-0.20
,Q4,-0.23
1971,Q1,-0.77
,Q2,-0.23
,Q3,-0.37
,Q4,-0.28
1972,Q1,0.43
,Q2,0.17
,Q3,0.18
,Q4,0.42
1973,Q1,0.87
,Q2,0.33
,Q3,-0.06
,Q4,0.11
1974,Q1,-0.06
,Q2,0.07
,Q3,0.26
,Q4,0.00
1975,Q1,-0.28
,Q2,-0.16
,Q3,-0.15
,Q4,-0.22
1976,Q1,-0.22
,Q2,-0.12
,Q3,-0.04
,Q4,0.08
1977,Q1,0.06
,Q2,0.00
,Q3,0.03
,Q4,0.05
1978,Q1,0.16
,Q2,0.14
,Q3,0.18
,Q4,0.47
1979,Q1,0.22
,Q2,0.18
,Q3,0.28
,Q4,0.20
1980,Q1,-0.12
,Q2,-0.24
,Q3,-0.56
,Q4,-0.78
1981,Q1,-0.78
,Q2,-0.67
,Q3,-0.57
,Q4,-0.60
1982,Q1,-0.37
,Q2,-0.39
,Q3,-0.52
,Q4,-0.61
1983,Q1,-0.44
,Q2,-0.02
,Q3,0.69
,Q4,0.78
1984,Q1,0.55
,Q2,0.50
,Q3,0.37
,Q4,0.41
1985,Q1,0.33
,Q2,0.22
,Q3,0.22
,Q4,0.14
1986,Q1,0.04
,Q2,0.10
,Q3,0.30
,Q4,0.32
1987,Q1,0.30
,Q2,0.74
,Q3,0.94
,Q4,0.91
1988,Q1,0.86
,Q2,0.68
,Q3,0.73
,Q4,0.75
1989,Q1,0.89
,Q2,0.53
,Q3,0.24
,Q4,0.32
1990,Q1,0.07
,Q2,0.13
,Q3,-0.13
,Q4,-0.56
1991,Q1,-0.82
,Q2,-0.96
,Q3,-0.95
,Q4,-0.79
1992,Q1,-0.43
,Q2,-0.41
,Q3,-0.37
,Q4,-0.68
1993,Q1,-0.21
,Q2,0.04
,Q3,0.09
,Q4,0.02
1994,Q1,0.35
,Q2,0.17
,Q3,0.42
,Q4,0.16
1995,Q1,0.27
,Q2,0.39
,Q3,0.32
,Q4,0.50
1996,Q1,-0.05
,Q2,0.15
,Q3,0.20
,Q4,0.52
1997,Q1,0.70
,Q2,0.50
,Q3,0.22
,Q4,0.24
1998,Q1,0.15
,Q2,0.14
,Q3,0.45
,Q4,0.45
1999,Q1,0.30
,Q2,0.22
,Q3,0.45
,Q4,0.38
2000,Q1,0.15
,Q2,0.39
,Q3,0.32
,Q4,-0.02
2001,Q1,0.27
,Q2,0.30
,Q3,0.03
,Q4,0.32
2002,Q1,-0.02
,Q2,0.49
,Q3,0.01
,Q4,0.63
2003,Q1,-0.04
,Q2,0.45
,Q3,0.11
,Q4,0.17
2004,Q1,0.55
,Q2,0.04
,Q3,0.17
,Q4,0.54
2005,Q1,0.40
,Q2,0.05
,Q3,0.44
,Q4,-0.17
2006,Q1,0.58
,Q2,0.20
,Q3,0.26
,Q4,0.11
2007,Q1,-0.07
,Q2,0.44
,Q3,0.33
,Q4,0.53
2008,Q1,0.37
,Q2,0.13
,Q3,-0.48
,Q4,-0.18
2009,Q1,-0.55
,Q2,-0.95
,Q3,-0.06
,Q4,0.11
2010,Q1,-0.31
,Q2,0.62
,Q3,0.66
,Q4,-0.21
2011,Q1,0.40
,Q2,0.02
,Q3,-0.58
,Q4,0.22
2012,Q1,0.41
,Q2,0.69
,Q3,0.33
,Q4,0.48
2013,Q1,-0.21
,Q2,0.36
,Q3,0.54
,Q4,0.59
2014,Q1,0.82
,Q2,0.60
,Q3,0.38
,Q4,0.34
2015,Q1,0.74
,Q2,-0.08
,Q3,0.63
,Q4,0.62
2016,Q1,0.14
,Q2,0.54
,Q3,0.15
,Q4,0.12
