"Figure 2: Growth in the number of payrolled employees became negative in 2020, but has since returned to positive growth",,
"Percentage change on same month in previous year, seasonally adjusted, UK, July 2015 to September 2022",,
,,
Notes,"1. The latest period, highlighted in orange, is based on early data and therefore is more likely to be subject to slightly more significant revisions. 
2. The August 2022 figure is not a flash estimate of payrolled employees, this is included purely for graphing purposes.",
Unit,%,
,,
Date,Payrolled employee growth,Flash estimate
Jul-15,2.83405712,
Aug-15,2.69282671,
Sep-15,2.68400047,
Oct-15,2.84474961,
Nov-15,2.65194104,
Dec-15,2.53898932,
Jan-16,2.21976801,
Feb-16,2.13948131,
Mar-16,1.93666572,
Apr-16,1.73924938,
May-16,1.73466823,
Jun-16,1.6445323,
Jul-16,1.57619612,
Aug-16,1.4403973,
Sep-16,1.365187,
Oct-16,1.24047864,
Nov-16,1.21032332,
Dec-16,1.42838018,
Jan-17,1.16883447,
Feb-17,1.18786639,
Mar-17,1.19183439,
Apr-17,1.45523747,
May-17,1.34577898,
Jun-17,1.33201706,
Jul-17,1.26454504,
Aug-17,1.36614515,
Sep-17,1.37849401,
Oct-17,1.3827557,
Nov-17,1.39156307,
Dec-17,1.3478529,
Jan-18,1.38621755,
Feb-18,1.2706877,
Mar-18,1.22077031,
Apr-18,1.11556402,
May-18,1.13760207,
Jun-18,1.08614759,
Jul-18,1.15350168,
Aug-18,1.14672792,
Sep-18,1.04338836,
Oct-18,1.05278387,
Nov-18,1.1442232,
Dec-18,1.0161452,
Jan-19,1.07983644,
Feb-19,1.14595069,
Mar-19,1.25501642,
Apr-19,1.30749823,
May-19,1.1940764,
Jun-19,1.14659061,
Jul-19,0.97753776,
Aug-19,0.94109394,
Sep-19,1.00494359,
Oct-19,0.93899682,
Nov-19,0.76943359,
Dec-19,0.80863855,
Jan-20,0.8770348,
Feb-20,0.72942441,
Mar-20,0.47823506,
Apr-20,-1.16949674,
May-20,-1.71691625,
Jun-20,-1.89990373,
Jul-20,-1.99897288,
Aug-20,-2.35673886,
Sep-20,-2.68171836,
Oct-20,-2.78057696,
Nov-20,-3.0657558,
Dec-20,-3.01266258,
Jan-21,-3.07339575,
Feb-21,-3.05923317,
Mar-21,-2.77750582,
Apr-21,-0.9043621,
May-21,0.36352382,
Jun-21,1.14054325,
Jul-21,1.64273901,
Aug-21,2.38130421,
Sep-21,2.98211664,
Oct-21,3.19569924,
Nov-21,3.82039149,
Dec-21,3.97171535,
Jan-22,4.00526276,
Feb-22,4.41079957,
Mar-22,4.47225099,
Apr-22,4.21353223,
May-22,3.53568692,
Jun-22,3.0166793,
Jul-22,2.88137706,
Aug-22,2.56057674,2.56057674
Sep-22,,2.46040576
