Year,Month,seasonally-adjusted and interpolated
1915,Jan,2.15
,Feb,1.87
,Mar,1.50
,Apr,1.27
,May,1.08
,Jun,1.07
,Jul,1.06
,Aug,0.93
,Sep,0.85
,Oct,0.81
,Nov,0.84
,Dec,0.90
1916,Jan,0.85
,Feb,0.76
,Mar,0.74
,Apr,0.79
,May,0.68
,Jun,0.57
,Jul,0.62
,Aug,0.52
,Sep,0.49
,Oct,0.42
,Nov,0.48
,Dec,0.49
1917,Jan,0.53
,Feb,0.58
,Mar,0.62
,Apr,0.66
,May,0.75
,Jun,0.78
,Jul,0.72
,Aug,0.73
,Sep,0.71
,Oct,0.87
,Nov,0.78
,Dec,0.65
1918,Jan,0.80
,Feb,0.87
,Mar,1.02
,Apr,1.08
,May,0.95
,Jun,0.88
,Jul,0.71
,Aug,0.74
,Sep,0.73
,Oct,0.77
,Nov,0.88
,Dec,1.32
1919,Jan,1.76
,Feb,2.19
,Mar,2.63
,Apr,3.07
,May,3.51
,Jun,3.95
,Jul,4.39
,Aug,4.83
,Sep,5.26
,Oct,5.70
,Nov,6.14
,Dec,6.28
1920,Jan,5.33
,Feb,4.10
,Mar,3.31
,Apr,2.52
,May,2.55
,Jun,2.63
,Jul,2.94
,Aug,3.21
,Sep,4.07
,Oct,4.35
,Nov,3.85
,Dec,7.55
1921,Jan,9.89
,Feb,12.15
,Mar,14.32
,Apr,18.31
,May,22.56
,Jun,22.82
,Jul,19.33
,Aug,16.95
,Sep,15.09
,Oct,16.57
,Nov,18.04
,Dec,17.42
1922,Jan,15.89
,Feb,15.98
,Mar,15.28
,Apr,14.88
,May,14.50
,Jun,14.13
,Jul,13.89
,Aug,13.46
,Sep,13.22
,Oct,13.48
,Nov,13.07
,Dec,12.63
1923,Jan,12.13
,Feb,11.81
,Mar,11.58
,Apr,11.27
,May,11.49
,Jun,11.69
,Jul,12.05
,Aug,11.88
,Sep,11.80
,Oct,11.77
,Nov,11.30
,Dec,10.62
1924,Jan,11.02
,Feb,10.42
,Mar,10.04
,Apr,9.96
,May,9.84
,Jun,9.57
,Jul,9.93
,Aug,10.23
,Sep,10.40
,Oct,10.57
,Nov,10.50
,Dec,10.85
1925,Jan,10.58
,Feb,11.39
,Mar,11.62
,Apr,11.46
,May,11.56
,Jun,12.09
,Jul,11.14
,Aug,11.58
,Sep,11.62
,Oct,10.96
,Nov,10.62
,Dec,10.57
1926,Jan,10.52
,Feb,10.60
,Mar,10.39
,Apr,9.65
,May,15.24
,Jun,14.78
,Jul,14.02
,Aug,13.42
,Sep,13.33
,Oct,13.11
,Nov,12.92
,Dec,12.09
1927,Jan,11.50
,Feb,11.00
,Mar,10.43
,Apr,9.99
,May,9.28
,Jun,8.93
,Jul,8.90
,Aug,8.99
,Sep,9.14
,Oct,9.24
,Nov,9.46
,Dec,9.94
1928,Jan,10.16
,Feb,10.33
,Mar,10.10
,Apr,10.06
,May,10.36
,Jun,10.91
,Jul,11.22
,Aug,11.25
,Sep,11.25
,Oct,11.47
,Nov,11.64
,Dec,11.24
1929,Jan,11.55
,Feb,11.86
,Mar,10.54
,Apr,10.27
,May,10.12
,Jun,9.80
,Jul,9.48
,Aug,9.75
,Sep,9.91
,Oct,10.18
,Nov,10.67
,Dec,11.13
1930,Jan,11.77
,Feb,12.58
,Mar,14.29
,Apr,14.68
,May,15.43
,Jun,15.66
,Jul,16.38
,Aug,16.82
,Sep,17.54
,Oct,18.44
,Nov,18.82
,Dec,20.17
1931,Jan,20.15
,Feb,20.69
,Mar,21.61
,Apr,20.83
,May,20.72
,Jun,21.50
,Jul,21.58
,Aug,21.70
,Sep,22.43
,Oct,21.83
,Nov,21.37
,Dec,21.09
1932,Jan,21.22
,Feb,21.18
,Mar,21.12
,Apr,21.59
,May,22.35
,Jun,22.52
,Jul,22.56
,Aug,22.85
,Sep,22.95
,Oct,22.24
,Nov,22.47
,Dec,22.07
1933,Jan,21.88
,Feb,21.76
,Mar,21.90
,Apr,21.51
,May,20.75
,Jun,19.75
,Jul,19.45
,Aug,19.13
,Sep,18.69
,Oct,18.48
,Nov,18.13
,Dec,17.83
1934,Jan,17.50
,Feb,17.15
,Mar,17.00
,Apr,16.75
,May,16.55
,Jun,16.73
,Jul,16.83
,Aug,16.76
,Sep,16.41
,Oct,16.69
,Nov,16.51
,Dec,16.14
1935,Jan,16.38
,Feb,16.38
,Mar,16.03
,Apr,15.77
,May,15.91
,Jun,15.77
,Jul,15.52
,Aug,15.40
,Sep,15.37
,Oct,14.89
,Nov,14.67
,Dec,13.98
1936,Jan,14.87
,Feb,14.20
,Mar,13.79
,Apr,13.76
,May,13.23
,Jun,13.18
,Jul,12.84
,Aug,12.62
,Sep,12.56
,Oct,12.34
,Nov,12.04
,Dec,11.65
1937,Jan,11.25
,Feb,11.09
,Mar,11.21
,Apr,10.64
,May,11.11
,Jun,10.45
,Jul,10.65
,Aug,10.60
,Sep,10.12
,Oct,10.34
,Nov,10.79
,Dec,11.53
1938,Jan,11.73
,Feb,12.02
,Mar,12.31
,Apr,12.95
,May,13.49
,Jun,14.04
,Jul,13.89
,Aug,13.72
,Sep,13.35
,Oct,12.79
,Nov,12.58
,Dec,12.16
1939,Jan,11.12
,Feb,10.84
,Mar,10.67
,Apr,10.54
,May,9.92
,Jun,9.15
,Jul,8.68
,Aug,8.33
,Sep,8.20
,Oct,8.21
,Nov,7.91
,Dec,7.69
1940,Jan,8.24
,Feb,8.67
,Mar,7.04
,Apr,6.42
,May,5.94
,Jun,5.21
,Jul,5.55
,Aug,5.23
,Sep,5.24
,Oct,5.01
,Nov,4.71
,Dec,4.11
1941,Jan,3.81
,Feb,3.34
,Mar,2.80
,Apr,2.65
,May,2.48
,Jun,2.13
,Jul,1.89
,Aug,1.71
,Sep,1.44
,Oct,1.29
,Nov,1.13
,Dec,1.11
1942,Jan,1.02
,Feb,1.09
,Mar,0.89
,Apr,0.85
,May,0.76
,Jun,0.78
,Jul,0.78
,Aug,0.75
,Sep,0.72
,Oct,0.61
,Nov,0.66
,Dec,0.55
1943,Jan,0.60
,Feb,0.60
,Mar,0.62
,Apr,0.62
,May,0.61
,Jun,0.60
,Jul,0.56
,Aug,0.55
,Sep,0.53
,Oct,0.51
,Nov,0.51
,Dec,0.51
1944,Jan,0.51
,Feb,0.50
,Mar,0.50
,Apr,0.51
,May,0.54
,Jun,0.57
,Jul,0.57
,Aug,0.61
,Sep,0.61
,Oct,0.63
,Nov,0.64
,Dec,0.66
1945,Jan,0.68
,Feb,0.66
,Mar,0.66
,Apr,0.69
,May,0.74
,Jun,0.82
,Jul,1.05
,Aug,1.19
,Sep,1.58
,Oct,1.91
,Nov,2.08
,Dec,2.00
1946,Jan,1.92
,Feb,2.07
,Mar,2.24
,Apr,2.48
,May,2.70
,Jun,3.06
,Jul,3.01
,Aug,3.03
,Sep,2.93
,Oct,2.73
,Nov,2.55
,Dec,2.31
1947,Jan,2.20
,Feb,9.71
,Mar,4.28
,Apr,2.71
,May,2.34
,Jun,2.25
,Jul,2.23
,Aug,2.06
,Sep,1.92
,Oct,1.96
,Nov,1.84
,Dec,1.79
1948,Jan,1.79
,Feb,1.78
,Mar,1.71
,Apr,1.86
,May,2.01
,Jun,2.18
,Jul,1.89
,Aug,1.90
,Sep,1.80
,Oct,1.72
,Nov,1.72
,Dec,1.62
1949,Jan,1.63
,Feb,1.56
,Mar,1.57
,Apr,1.59
,May,1.61
,Jun,1.59
,Jul,1.62
,Aug,1.62
,Sep,1.65
,Oct,1.66
,Nov,1.69
,Dec,1.63
1950,Jan,1.59
,Feb,1.60
,Mar,1.62
,Apr,1.60
,May,1.62
,Jun,1.67
